ticker,name_zh,sector_zh,asset_type
A,安捷伦科技,医疗保健,stock
AAL,美国航空,工业,stock
AAPL,苹果公司,信息技术,stock
ABBV,艾伯维,医疗保健,stock
ABNB,爱彼迎,非必需消费品,stock
ABT,雅培,医疗保健,stock
ACGL,Arch Capital Group,金融,stock
ACN,埃森哲,信息技术,stock
ADBE,奥多比,信息技术,stock
ADI,亚德诺半导体,半导体,stock
ADM,阿彻丹尼尔斯米德兰,日常消费品,stock
ADP,自动数据处理公司,信息技术,stock
ADSK,欧特克,信息技术,stock
AEE,Ameren,公用事业,stock
AEP,美国电力,公用事业,stock
AES,爱依斯电力,公用事业,stock
AFL,美国家庭人寿保险,金融,stock
AIG,美国国际集团,金融,stock
AIZ,Assurant,金融,stock
AJG,亚瑟加拉格尔,金融,stock
AKAM,阿卡迈科技,信息技术,stock
ALB,雅宝,原材料,stock
ALGN,隐适美科技,医疗保健,stock
ALK,阿拉斯加航空,工业,stock
ALL,好事达,金融,stock
ALLE,Allegion,工业,stock
AMAT,应用材料,半导体,stock
AMCR,Amcor,原材料,stock
AMD,超威半导体,半导体,stock
AME,阿美德克,工业,stock
AMGN,安进,医疗保健,stock
AMP,美盛安斯泰来,金融,stock
AMT,美国电塔,房地产,stock
AMZN,亚马逊,非必需消费品,stock
ANET,阿里斯塔网络,信息技术,stock
ANSS,安世,信息技术,stock
AON,怡安,金融,stock
AOS,A.O.史密斯,工业,stock
APA,阿帕奇,能源,stock
APD,空气化工产品,原材料,stock
APH,安费诺,信息技术,stock
APTV,安波福,非必需消费品,stock
ARE,亚历山大房地产,房地产,stock
ATO,Atmos Energy,公用事业,stock
AVB,AvalonBay Communities,房地产,stock
AVGO,博通,半导体,stock
AVY,艾利丹尼森,原材料,stock
AWK,美国水务,公用事业,stock
AXP,美国运通,金融,stock
AZO,AutoZone,非必需消费品,stock
BA,波音,工业,stock
BAC,美国银行,金融,stock
BALL,波尔,原材料,stock
BAX,百特国际,医疗保健,stock
BBWI,Bath & Body Works,非必需消费品,stock
BBY,百思买,非必需消费品,stock
BDX,贝克顿,医疗保健,stock
BEN,富兰克林资源,金融,stock
BF.B,布朗福曼,日常消费品,stock
BG,邦吉,日常消费品,stock
BIIB,百健,医疗保健,stock
BIO,Bio-Rad实验室,医疗保健,stock
BK,纽约梅隆银行,金融,stock
BKNG,Booking Holdings,非必需消费品,stock
BKR,贝克休斯,能源,stock
BLK,贝莱德,金融,stock
BMY,百时美施贵宝,医疗保健,stock
BR,博通,信息技术,stock
BRK.B,伯克希尔哈撒韦B,金融,stock
BRO,布朗布朗,金融,stock
BSX,波士顿科学,医疗保健,stock
BWA,博格华纳,非必需消费品,stock
BX,黑石集团,金融,stock
BXP,波士顿地产,房地产,stock
C,花旗集团,金融,stock
CAG,康尼格拉,日常消费品,stock
CAH,卡地纳健康,医疗保健,stock
CAT,卡特彼勒,工业,stock
CB,丘博保险,金融,stock
CBOE,芝加哥期权交易所,金融,stock
CBRE,世邦魏理仕,房地产,stock
CCI,冠城国际,房地产,stock
CCL,嘉年华邮轮,非必需消费品,stock
CDNS,铿腾电子,信息技术,stock
CDW,CDW Corporation,信息技术,stock
CE,赛拉尼斯,原材料,stock
CEG,星座能源,公用事业,stock
CF,CF实业,原材料,stock
CFG,公民金融,金融,stock
CHD,丘奇德怀特,日常消费品,stock
CHRW,罗宾逊全球物流,工业,stock
CHTR,特许通讯,通讯服务,stock
CI,信诺,医疗保健,stock
CINF,辛辛那提金融,金融,stock
CL,高露洁,日常消费品,stock
CLX,高乐氏,日常消费品,stock
CMA,联信银行,金融,stock
CMCSA,康卡斯特,媒体娱乐,stock
CME,芝加哥商品交易所,金融,stock
CMG,墨式烧烤,非必需消费品,stock
CMI,康明斯,工业,stock
CMS,CMS能源,公用事业,stock
CNA,CNA保险,金融,stock
CNP,中点能源,公用事业,stock
CNX,CONSOL Energy,能源,stock
COF,第一资本,金融,stock
COO,库珀医疗,医疗保健,stock
COP,康菲石油,能源,stock
COST,好市多,日常消费品,stock
CPB,金宝汤,日常消费品,stock
CPRT,Copart,工业,stock
CPT,Camden Property Trust,房地产,stock
CRL,查尔斯河实验室,医疗保健,stock
CRM,赛富时,信息技术,stock
CSCO,思科,信息技术,stock
CSGP,CoStar Group,房地产,stock
CSX,CSX铁路,工业,stock
CTAS,仕达屋,工业,stock
CTLT,Catalent,医疗保健,stock
CTRA,Coterra Energy,能源,stock
CTSH,高知特,信息技术,stock
CVS,CVS健康,医疗保健,stock
CVX,雪佛龙,能源,stock
CZR,凯撒娱乐,非必需消费品,stock
D,多米尼克能源,公用事业,stock
DAL,达美航空,工业,stock
DAY,Dayforce,信息技术,stock
DD,杜邦,原材料,stock
DE,迪尔,工业,stock
DECK,德克斯户外,非必需消费品,stock
DFS,发现金融服务,金融,stock
DG,美元通用,日常消费品,stock
DGX,奎斯特诊断,医疗保健,stock
DHI,霍顿房屋,非必需消费品,stock
DHR,丹纳赫,医疗保健,stock
DIS,迪士尼,媒体娱乐,stock
DLR,Digital Realty,房地产,stock
DLTR,美元树,非必需消费品,stock
DOV,多佛,工业,stock
DOW,陶氏化学,原材料,stock
DPZ,达美乐比萨,非必需消费品,stock
DRI,达顿餐厅,非必需消费品,stock
DTE,DTE能源,公用事业,stock
DUK,杜克能源,公用事业,stock
DVA,达维塔医疗,医疗保健,stock
DVN,德文能源,能源,stock
DXCM,德康医疗,医疗保健,stock
EA,艺电,媒体娱乐,stock
EBAY,易贝,非必需消费品,stock
ECL,艺康,原材料,stock
ED,爱迪生联合电气,公用事业,stock
EEM,iShares MSCI新兴市场ETF,金融,stock
EFX,Equifax,金融,stock
EIX,爱迪生国际,公用事业,stock
EL,雅诗兰黛,日常消费品,stock
ELV,Elevance Health,医疗保健,stock
EMN,伊士曼化工,原材料,stock
EMR,艾默生电气,工业,stock
ENPH,Enphase Energy,信息技术,stock
EOG,EOG能源,能源,stock
EPAM,EPAM Systems,信息技术,stock
EQIX,Equinix,房地产,stock
EQR,Equity Residential,房地产,stock
EQT,EQT能源,能源,stock
ES,Eversource Energy,公用事业,stock
ESS,Essex Property Trust,房地产,stock
ETN,伊顿,工业,stock
ETR,安特吉,公用事业,stock
ETSY,Etsy,非必需消费品,stock
EVRG,Evergy,公用事业,stock
EW,爱德华兹生命科学,医疗保健,stock
EXC,爱克斯龙,公用事业,stock
EXPD,康捷国际物流,工业,stock
